Disease,Symptoms,Herbal/Ayurvedic Remedy,
High Blood Pressure,"Dizziness, Headaches","Garlic, Hawthorn",
Digestive Issues,"Bloating, Gas","Aloe Vera, Peppermint",
Skin Rashes,"Redness, Itching","Aloe Vera, Arnica",
Fever,"Chills, Sweating","Cayenne, Echinacea",
Liver Problems,"Fatigue, Nausea","Milk Thistle, Dandelion",
Anxiety,"Panic Attacks, Insomnia","Aconite, Gelsemium",
Inflammation,"Joint Pain, Redness","Turmeric, Ginger",
Cold and Flu,"Cough, Sore Throat","Echinacea, Belladonna",
Skin Infections,"Redness, Swelling","Neem, Tulsi",
Hair Loss,"Thinning, Balding","Amla, Brahmi",
Respiratory Issues,"Cough, Wheezing","Senna, Nilavembu",
Mental Fatigue,"Lethargy, Brain Fog","Ashwagandha, Brahmi",
Diabetes,"Increased Thirst, Urination","Turmeric, Saffron",
Allergies,"Hives, Itching","Nux vomica, Silicea",
Mouth Ulcers,"Pain, Swelling","Aloe Vera, Saffron",
Menstrual Cramps,"Cramping, Bloating","Ginger, Turmeric",
Acne,"Redness, Inflammation","Neem, Tulsi",
Cough and Congestion,"Chest Tightness, Coughing","Senna, Vettiver",
Arthritis,"Joint Pain, Stiffness","Turmeric, Ginger",
Stress and Anxiety,"Mood Swings, Fatigue","Ashwagandha, Brahmi",
Wound Healing,"Redness, Swelling","Aloe Vera, Arnica",
Insomnia,"Difficulty Sleeping, Fatigue","Aconite, Gelsemium",
Indigestion,"Bloating, Gas","Aloe Vera, Peppermint",
Migraines,"Headaches, Nausea","Gelsemium, Saffron",
Urinary Tract Infections,"Burning, Frequent Urination","Senna, Nilavembu",
Eczema,"Redness, Itching","Aloe Vera, Arnica",
Hypertension,"Dizziness, Headaches","Garlic, Hawthorn",
Menopause Symptoms,"Hot Flashes, Mood Swings","Senna, Shatavari",
Asthma,"Wheezing, Coughing","Senna, Vettiver",
Gastrointestinal Issues,"Bloating, Gas","Aloe Vera, Peppermint",
Kidney Stones,"Pain, Nausea","Senna, Nilavembu",
Coughs,"Chest Tightness, Coughing","Senna, Vettiver",
Fungal Infections,"Redness, Itching","Neem, Tulsi",
Bloating,"Gas, Discomfort","Aloe Vera, Peppermint",
Fatigue,"Lethargy, Brain Fog","Ashwagandha, Brahmi",
Lower Back Pain,"Pain, Stiffness","Turmeric, Ginger",
Osteoporosis,"Weak Bones, Fractures","Calcarea carbonica, Silicea",
PMS Symptoms,"Mood Swings, Bloating","Senna, Shatavari",
Rheumatoid Arthritis,"Joint Pain, Stiffness","Turmeric, Ginger",
Sinus Infections,"Congestion, Headaches","Senna, Vettiver",
Skin Conditions,"Redness, Itching","Neem, Tulsi",
Stomach Ulcers,"Pain, Nausea","Aloe Vera, Saffron",
Tonsillitis,"Sore Throat, Fever","Senna, Vettiver",
Ulcerative Colitis,"Diarrhea, Abdominal Pain","Aloe Vera, Saffron",
Viral Infections,"Fever, Fatigue","Echinacea, Belladonna",
Weight Loss,"Slowed Metabolism, Fatigue","Senna, Nilavembu",
Wound Infections,"Redness, Swelling","Neem, Tulsi",
Yeast Infections,"Itching, Burning","Senna, Vettiver",
Abdominal Pain,"Cramping, Nausea","Aloe Vera, Peppermint",
Abscesses,"Redness, Swelling","Neem, Tulsi",
Acid Reflux,"Heartburn, Regurgitation","Aloe Vera, Peppermint",
Adrenal Fatigue,"Fatigue, Brain Fog","Ashwagandha, Brahmi",
Allergic Reactions,"Hives , Itching","Nux vomica, Silicea",
Anemia,"Fatigue, Weakness","Senna, Nilavembu",
Angina,"Chest Pain, Shortness of Breath","Garlic, Hawthorn",
Anxiety Attacks,"Panic, Fear","Aconite, Gelsemium",
Aphthous Ulcers,"Pain, Swelling","Aloe Vera, Saffron",
Appendicitis,"Abdominal Pain, Nausea","Aloe Vera, Peppermint",
Arthritis Pain,"Joint Pain, Stiffness","Turmeric, Ginger",
Asthmatic Bronchitis,"Wheezing, Coughing","Senna, Vettiver",
Atherosclerosis,"High Blood Pressure, High Cholesterol","Garlic, Hawthorn",
Autoimmune Disorders,"Fatigue, Joint Pain","Ashwagandha, Brahmi",
Bacterial Infections,"Fever, Chills","Echinacea, Belladonna",
Bipolar Disorder,"Mood Swings, Fatigue","Senna, Shatavari",
Bladder Infections,"Burning, Frequent Urination","Senna, Nilavembu",
Blood Clots,"Pain, Swelling","Turmeric, Ginger",
Blood Pressure,"Dizziness, Headaches","Garlic, Hawthorn",
Boils,"Redness, Swelling","Neem, Tulsi",
Bone Cancer,"Pain, Fatigue","Calcarea carbonica, Silicea",
Bone Fractures,"Pain, Swelling","Calcarea carbonica, Silicea",
Bone Spurs,"Pain, Stiffness","Turmeric, Ginger",
Breast Cancer,"Pain, Fatigue","Senna, Shatavari",
Bronchitis,"Cough, Sore Throat","Echinacea, Belladonna",
Burns,"Redness, Swelling","Aloe Vera, Arnica",
Cancer,"Fatigue, Weight Loss","Senna, Nilavembu",
Candida,"Itching, Burning","Senna, Vettiver",
Canker Sores,"Pain, Swelling","Aloe Vera, Saffron",
Cardiovascular Disease,"High Blood Pressure, High Cholesterol","Garlic, Hawthorn",
Carpal Tunnel Syndrome,"Pain, Numbness","Turmeric, Ginger",
Cataracts,"Blurred Vision, Sensitivity to Light","Senna, Shatavari",
Cellulite,"Dimpling, Sagging Skin","Aloe Vera, Peppermint",
Cervical Cancer,"Pain, Fatigue","Senna, Shatavari",
Chickenpox,"Fever, Rash","Echinacea, Belladonna",
Chronic Fatigue Syndrome,"Fatigue, Brain Fog","Ashwagandha, Brahmi",
Chronic Pain,"Pain, Stiffness","Turmeric, Ginger",
Cirrhosis,"Fatigue, Nausea","Milk Thistle, Dandelion",
Cold Sores,"Pain, Swelling","Aloe Vera, Saffron",
Colitis,"Diarrhea, Abdominal Pain","Aloe Vera, Saffron",
Colon Cancer,"Pain, Fatigue","Senna, Shatavari",
Constipation,"Bloating, Gas","Aloe Vera, Peppermint",
Coughs and Colds,"Cough, Sore Throat","Echinacea, Belladonna",
Crohn's Disease,"Diarrhea, Abdominal Pain","Aloe Vera, Saffron",
Cystic Fibrosis,"Respiratory Issues, Fatigue","Senna, Nilavembu",
Dandruff,"Itching, Flaking","Neem, Tulsi",
Dementia,"Memory Loss, Confusion","Senna, Shatavari",
Dental Problems,"Toothache, Gum Disease","Aloe Vera, Peppermint",
Depression,"Mood Swings, Fatigue","Senna, Shatavari",
Diabetic Neuropathy,"Numbness, Tingling","Turmeric, Ginger",
Diarrhea,"Abdominal Pain, Bloating","Aloe Vera, Peppermint",
Diverticulitis,"Abdominal Pain, Nausea","Aloe Vera, Peppermint",
Dry Skin,"Itching, Flaking","Neem, Tulsi",
Eczema,"Redness, Itching","Aloe Vera, Arnica",
Emphysema,"Respiratory Issues, Fatigue","Senna, Nilavembu",
Endometriosis,"Pain, Fatigue","Senna, Shatavari",
Epilepsy,"Seizures, Fatigue","Senna, Shatavari",
Erectile Dysfunction,"Impotence, Fatigue","Ashwagandha, Brahmi",
Eye Infections,"Redness, Swelling","Neem, Tulsi",
Eye Strain,"Blurred Vision, Headaches","Senna, Shatavari",
Fibromyalgia,"Pain, Fatigue","Turmeric, Ginger",
Food Allergies,"Hives, Itching","Nux vomica, Silicea",
Food Poisoning,"Nausea, Vomiting","Aloe Vera, Peppermint",
Gallstones,"Pain, Nausea","Senna, Nilavembu",
Gastritis,"Abdominal Pain, Nausea","Aloe Vera, Peppermint",
Gastroesophageal Reflux Disease,"Heartburn, Regurgitation","Aloe Vera, Peppermint",
Gingivitis,"Gum Disease, Bad Breath","Aloe Vera, Peppermint",
Glaucoma,"Blurred Vision, Sensitivity to Light","Senna, Shatavari",
Gout,"Joint Pain, Swelling","Turmeric, Ginger",
Gum Disease,"Bad Breath, Bleeding Gums","Aloe Vera, Peppermint",
Hair Loss,"Thinning, Balding","Amla, Brahmi",
Headaches,"Pain, Nausea","Gelsemium, Saffron",
Hearing Loss,"Ringing, Decreased Hearing","Senna, Shatavari",
Heart Disease,"High Blood Pressure, High Cholesterol","Garlic, Hawthorn",
Heart Failure,"Fatigue, Shortness of Breath","Senna, Nilavembu",
Hemorrhoids,"Pain, Itching","Aloe Vera, Peppermint",
Hepatitis,"Fatigue, Nausea","Milk Thistle, Dandelion",
Herpes,"Pain, Swelling","Aloe Vera, Saffron",
High Blood Pressure,"Dizziness, Headaches","Garlic, Hawthorn",
High Cholesterol,"Fatigue, Shortness of Breath","Garlic, Hawthorn",
Hives,"Itching, Redness","Nux vomica, Silicea",
Hypothyroidism,"Fatigue, Weight Gain","Ashwagandha, Brahmi",
Impotence,"Erectile Dysfunction, Fatigue","Ashwagandha, Brahmi",
Incontinence,"Urinary Incontinence, Fatigue","Senna, Nilavembu",
Indigestion,"Bloating, Gas","Aloe Vera, Peppermint",
Infertility,"Fatigue, Hormonal Imbalance","Senna, Shatavari",
Inflammatory Bowel Disease,"Diarrhea, Abdominal Pain","Aloe Vera, Saffron",
Insomnia,"Difficulty Sleeping, Fatigue","Aconite, Gelsemium",
Irritable Bowel Syndrome,"Bloating, Gas","Aloe Vera, Peppermint",
Kidney Disease,"Fatigue, Nausea","Senna, Nilavembu",
Kidney Stones,"Pain, Nausea","Senna, Nilavembu",
Laryngitis,"Sore Throat, Hoarseness","Echinacea, Belladonna",
Leukemia,"Fatigue, Weight Loss","Senna, Nilavembu",
Lupus,"Fatigue, Joint Pain","Ashwagandha, Brahmi",
Lymphoma,"Fatigue, Weight Loss","Senna, Nilavembu",
Macular Degeneration,"Blurred Vision, Sensitivity to Light","Senna, Shatavari",
Menopause Symptoms,"Hot Flashes, Mood Swings","Senna, Shatavari",
Menstrual Cramps,"Cramping, Bloating","Ginger, Turmeric",
Migraines,"Headaches, Nausea","Gelsemium, Saffron",
Multiple Sclerosis,"Fatigue, Muscle Weakness","Ashwagandha, Brahmi",
Muscle Cramps,"Pain, Stiffness","Turmeric, Ginger",
Muscle Weakness,"Fatigue, Muscle Atrophy","Ashwagandha, Brahmi",
Nail Fungus,"Itching, Discoloration","Neem, Tulsi",
Narcolepsy,"Excessive Daytime Sleepiness, Fatigue","Senna, Shatavari",
Nausea,"Stomach Upset, Vomiting","Aloe Vera, Peppermint",
Neck Pain,"Pain, Stiffness","Turmeric, Ginger",
Nephrotic Syndrome,"Fatigue, Nausea","Senna, Nilavembu",
Nerve Damage,"Numbness, Tingling","Turmeric, Ginger",
Neurological Disorders,"Fatigue, Muscle Weakness","Ashwagandha, Brahmi",
Obesity,"Weight Gain, Fatigue","Senna, Nilavembu",
Osteoarthritis,"Joint Pain, Stiffness","Turmeric, Ginger",
Osteoporosis,"Weak Bones, Fractures","Calcarea carbonica, Silicea",
Ovarian Cancer,"Pain, Fatigue","Senna, Shatavari",
Overactive Thyroid,"Fatigue, Weight Loss","Ashwagandha, Brahmi",
Panic Attacks,"Panic, Fear","Aconite, Gelsemium",
Parkinson's Disease,"Trem ors, Fatigue","Senna, Shatavari",
Peptic Ulcer,"Pain, Nausea","Aloe Vera, Saffron",
Peripheral Neuropathy,"Numbness, Tingling","Turmeric, Ginger",
Pneumonia,"Cough, Sore Throat","Echinacea, Belladonna",
Polycystic Kidney Disease,"Fatigue, Nausea","Senna, Nilavembu",
Polycystic Ovary Syndrome,"Hormonal Imbalance, Fatigue","Senna, Shatavari",
Post-Traumatic Stress Disorder,"Anxiety, Fatigue","Ashwagandha, Brahmi",
Premature Ejaculation,"Erectile Dysfunction, Fatigue","Ashwagandha, Brahmi",
Prostate Cancer,"Pain, Fatigue","Senna, Shatavari",
Prostatitis,"Pain, Urinary Issues","Senna, Nilavembu",
Psoriasis,"Redness, Itching","Aloe Vera, Arnica",
Rheumatoid Arthritis,"Joint Pain, Stiffness","Turmeric, Ginger",
Rosacea,"Redness, Inflammation","Neem, Tulsi",
Sciatica,"Pain, Numbness","Turmeric, Ginger",
Scleroderma,"Fatigue, Skin Thickening","Ashwagandha, Brahmi",
Seborrheic Dermatitis,"Itching, Flaking","Neem, Tulsi",
Seizures,"Convulsions, Fatigue","Senna, Shatavari",
Sinus Infections,"Congestion, Headaches","Senna, Vettiver",
Skin Cancer,"Pain, Fatigue","Senna, Shatavari",
Skin Conditions,"Redness, Itching","Neem, Tulsi",
Sleep Apnea,"Fatigue, Snoring","Senna, Nilavembu",
Sleep Disorders,"Insomnia, Fatigue","Aconite, Gelsemium",
Smallpox,"Fever, Rash","Echinacea, Belladonna",
Smoking Addiction,"Nicotine Withdrawal, Fatigue","Ashwagandha, Brahmi",
Sore Throat,"Pain, Hoarseness","Echinacea, Belladonna",
Spinal Cord Injury,"Fatigue, Muscle Weakness","Ashwagandha, Brahmi",
Sprains and Strains,"Pain, Swelling","Turmeric, Ginger",
Stomach Ulcers,"Pain, Nausea","Aloe Vera, Saffron",
Stress,"Anxiety, Fatigue","Ashwagandha, Brahmi",
Stroke,"Fatigue, Weakness","Senna, Nilavembu",
Sunburn,"Redness, Blistering","Aloe Vera, Arnica",
Tendinitis,"Pain, Swelling","Turmeric, Ginger",
Thyroid Problems,"Fatigue, Weight Gain","Ashwagandha, Brahmi",
Tinnitus,"Ringing, Decreased Hearing","Senna, Shatavari",
Tonsillitis,"Sore Throat, Fever","Senna, Vettiver",
Tooth Decay,"Toothache, Gum Disease","Aloe Vera, Peppermint",
Trigeminal Neuralgia,"Pain, Numbness","Turmeric, Ginger",
Tuberculosis,"Cough, Sore Throat","Echinacea, Belladonna",
Ulcerative Colitis,"Diarrhea, Abdominal Pain","Aloe Vera, Saffron",
Urinary Incontinence,"Urinary Issues, Fatigue","Senna, Nilavembu",
Urinary Tract Infections,"Burning, Frequent Urination","Senna, Nilavembu",
Uterine Cancer,"Pain, Fatigue","Senna, Shatavari",
Vaginal Infections,"Itching, Burning","Senna, Vettiver",
Varicose Veins,"Pain, Swelling","Turmeric, Ginger",
Viral Infections,"Fever, Fatigue","Echinacea, Belladonna",
Vitiligo,"Skin Discoloration, Fatigue","Ashwagandha, Brahmi",
Warts,"Pain, Swelling","Aloe Vera, Saffron",
Weight Gain,"Fatigue, Slowed Metabolism","Senna, Nilavembu",
Weight Loss,"Slowed Metabolism, Fatigue","Senna, Nilavembu",
Wound Infections,"Redness, Swelling","Neem, Tulsi",
Yeast Infections,"Itching, Burning","Senna, Vettiver",
